"site"	"air_mean_temp"	"alt"	"slope_per"	"din"	"ppo4"	"tmean"	"DOmean"	"flow_vel"	"discharge"	"NDVI100m"	"algal.production"	"GPP.mle"	"ER.mle"	"K600_hyd"	"pCH4"	"pCO2"	"FCH4.h"	"FCO2.h"	"do.def"	"ch4co2_ratio"	"pceq"	"perCH4"	"NEP.mle"	"co2per"	"rip_open"
"33"	"site33"	0.0360068421794068	1.80362430557497	-0.695020376528794	-0.684315300044731	-0.386030817423341	-1.78027791927326	-0.0952295781110876	-0.351208784890614	-1.89584665673322	0.0758542899587349	-1.40020745436137	-3.80079677656187	-2.57108864914742	-0.819676374851564	1.42618264083065	0.768890295297918	0.533021056363928	0.169146772296208	0.691371559166333	0.731837987711768	0.643496731210315	0.716624280501855	2.05604742243497	0.626726929184578	-0.270334109423989
"34"	"site34"	-0.327580163540984	1.23846883606315	0.57525185211391	-0.750419215741502	-0.420997376972557	-0.36310315565212	-0.0952295781110876	0.849553793645505	0.822575577602218	-0.3582354046312	0.404415149190637	0.802770321669143	0.97268229372448	1.86701777051847	1.50429245744364	0.959268748901725	2.16747318384363	1.28215672599058	0.308786005402745	0.60371629499044	0.878973943804447	0.576092845770672	-0.963247810021697	0.78205602876297	0.0841235808756118
"35"	"site35"	1.03880326118242	-1.13044630560316	0.0308494684098941	1.03334875099759	-0.123781620804223	0.0199170507319726	-0.0952295781110876	0.483223050287755	-0.908985588316876	-0.910713197745662	1.31383424858179	0.283740921678686	0.168196145079477	0.570002945027112	0.00242924838357299	0.0541069068939972	0.628328961355497	0.531154499973458	0.715276738702502	-0.197684865239761	-0.223972982360526	-0.265198443379049	-0.193201195003659	0.0435377183643822	0.71789042314678
"36"	"site36"	-0.0138397634435504	-1.11690964765079	-1.14868902961547	1.18597013989034	2.44626050606313	0.556145339669702	-1.68238921329588	-0.0367508484813425	0.232325843013755	-1.14748939479472	0.925134913173389	0.183399650254889	-0.0213057108844896	-1.26424424512878	0.4635993373654	0.242039417395714	-0.876545425094649	-0.510637730773932	1.39635825773538	0.125069870544909	-0.0276186115534745	0.0643865394505757	0.000253525485475133	0.608927903086254	1.18539888188825
"37"	"site37"	-0.0607542157945685	1.43136621188455	0.339344152508837	-0.785689428710774	-0.455963936521772	-0.899331444589848	0.740117598301962	-1.09977002851166	-0.729440102790846	0.628332083073197	-2.21979863603942	0.439993862469245	-0.582442987480798	-0.5081677514461	0.377078392599339	1.07071871514457	0.155598614790454	0.541658847864167	-1.02446130433759	-0.738175209866054	0.797027450872048	-0.779342131069076	1.39203670859318	0.696445774212209	-0.666348413448585
"38"	"site38"	0.962567276112014	-0.93416476529367	-0.33208545405945	1.02553777512808	0.0335678971672471	0.785957463500157	-3.6036877190459	-0.109433250367017	0.119407285838805	-1.26587749331924	0.591182483308296	NA	NA	-0.358910259220204	2.41392953902284	2.1141468796822	1.90322028514238	1.16392812120636	1.88800339009026	0.416994086489178	3.17083231065574	0.373726135710228	-2.1410712578494	2.88230524913901	1.5701914841108
"39"	"site39"	0.754384393804371	-0.663431606246091	-0.949074822257335	1.18334942075007	-0.0888150612550078	1.43709181435311	-1.26471562508936	1.45105391963298	0.533870213041919	-0.634474301188431	1.41960622036181	0.914118659026231	1.03833135003426	-0.268567964817125	2.14798940763765	0.474932338255541	1.88932013429898	0.512014598567385	1.03364550883158	2.31217707250036	0.591896875015462	2.49660575166238	-0.99068321546949	0.678315877394406	0.359076835794108
"40"	"site40"	1.80116311188646	-0.724346567031797	-0.695020376528794	1.16086191855446	0.593032849954698	-0.209895073098482	-0.345833731035002	-0.488382208754689	-2.29710240254783	-1.3448028923356	-1.09539406067311	-2.03785499443441	-2.17403904695446	-0.874551645348955	-0.568696890095301	2.51841428344168	-1.03898499322788	0.925282978994729	0.871360759831956	-2.18302678134543	3.58067051272797	-1.81543141015689	1.7826224264351	2.11173648081757	1.99518157251114
"41"	"site41"	-0.0930079017858932	1.13355973693221	2.20845900322596	-0.782090037017032	-0.368547537648733	-1.89518398118849	0.990721751225878	-0.464635766856323	-1.17063510953129	1.45704877274489	-2.71837462422603	NA	NA	1.09539183199893	-0.880987000241719	-0.679289020780974	-0.262575519457998	0.128014480918586	-0.312097081194899	-0.417620177059883	-0.716815051467509	-0.480741265117393	0.745844330838922	-0.780303057549219	-1.28017040327664
"42"	"site42"	1.85394187078136	-0.781877363329407	-0.495406169170655	0.545943111154399	0.540583010630875	1.70520595882198	-2.93540997791546	0.130962715993814	-0.592597079974621	0.194242388483263	-2.15351380298229	0.147083915918289	1.37067679575139	-0.366536527543183	2.13343988445907	1.48149821228869	1.70695072030427	0.885625148999735	1.63569137535762	0.809356924725578	1.81549018625897	0.802225225031134	-1.55958177661618	2.05996124423289	-0.358135653480307
